epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.1712,0.71832,2.95329,0.95582,0.98261,0.98267,0.99387,0.84185,0.65683,0.70988,0.99935,9.49749e-05,9.49749e-05,9.49749e-05
2,95.0952,0.65454,0.89416,0.93724,0.99538,0.99905,0.99498,0.85152,0.61311,0.43384,0.91947,0.00018654,0.00018654,0.00018654
3,140.658,0.63979,0.65998,0.90925,0.99658,0.99989,0.995,0.85511,0.60665,0.38313,0.90749,0.00027433,0.00027433,0.00027433
4,186.177,0.6304,0.59796,0.9017,0.9983,1,0.995,0.85393,0.60425,0.33446,0.90415,0.000269012,0.000269012,0.000269012
5,231.725,0.62389,0.5445,0.89632,0.99626,1,0.995,0.85554,0.60312,0.32271,0.89991,0.000263349,0.000263349,0.000263349
6,277.043,0.61375,0.51684,0.89297,0.99743,1,0.995,0.85643,0.60278,0.30664,0.902,0.000257686,0.000257686,0.000257686
7,322.571,0.61681,0.49488,0.89209,0.99791,1,0.995,0.86111,0.60023,0.29224,0.89813,0.000252023,0.000252023,0.000252023
8,367.807,0.6159,0.47447,0.89249,0.99796,0.99972,0.995,0.85798,0.60493,0.28788,0.90161,0.00024636,0.00024636,0.00024636
9,413.116,0.61147,0.4571,0.8902,0.99788,0.99991,0.995,0.86003,0.60356,0.27772,0.89511,0.000240698,0.000240698,0.000240698
10,458.304,0.6097,0.4401,0.8899,0.99791,1,0.995,0.86275,0.60111,0.27197,0.89558,0.000235035,0.000235035,0.000235035
11,503.584,0.60876,0.4294,0.88755,0.99827,1,0.995,0.86332,0.60057,0.26682,0.89444,0.000229372,0.000229372,0.000229372
12,549.148,0.60759,0.41858,0.88842,0.99723,1,0.995,0.86223,0.59953,0.26383,0.89219,0.000223709,0.000223709,0.000223709
13,594.423,0.60686,0.41068,0.88935,0.99838,1,0.995,0.86576,0.59622,0.25751,0.8958,0.000218046,0.000218046,0.000218046
14,639.706,0.60503,0.39911,0.88898,0.99818,1,0.995,0.8687,0.5933,0.24684,0.89061,0.000212384,0.000212384,0.000212384
15,684.858,0.6049,0.39338,0.88651,0.99818,0.99976,0.995,0.86568,0.59361,0.24871,0.88795,0.000206721,0.000206721,0.000206721
16,730.025,0.60299,0.38393,0.88426,0.99766,1,0.995,0.86893,0.5943,0.24854,0.88883,0.000201058,0.000201058,0.000201058
17,775.276,0.60143,0.38044,0.88529,0.99828,1,0.995,0.86874,0.59221,0.24966,0.88723,0.000195395,0.000195395,0.000195395
18,820.854,0.60155,0.37123,0.88559,0.99846,1,0.995,0.86914,0.59673,0.24315,0.88935,0.000189732,0.000189732,0.000189732
19,866.247,0.60077,0.36798,0.88529,0.99843,1,0.995,0.87243,0.59567,0.24272,0.88997,0.00018407,0.00018407,0.00018407
20,911.393,0.59792,0.36215,0.88494,0.99811,1,0.995,0.87035,0.59281,0.24209,0.8872,0.000178407,0.000178407,0.000178407
21,956.356,0.5978,0.35858,0.8841,0.99853,1,0.995,0.87306,0.5905,0.2334,0.88674,0.000172744,0.000172744,0.000172744
22,1001.71,0.60125,0.35161,0.88474,0.99849,1,0.995,0.87242,0.59371,0.23859,0.88526,0.000167081,0.000167081,0.000167081
23,1046.69,0.60099,0.35172,0.8866,0.99825,1,0.995,0.8745,0.59154,0.23522,0.88575,0.000161418,0.000161418,0.000161418
24,1091.85,0.60222,0.34568,0.88522,0.99846,1,0.995,0.8755,0.58868,0.23555,0.88593,0.000155756,0.000155756,0.000155756
25,1136.89,0.59529,0.34207,0.88171,0.99841,1,0.995,0.87636,0.591,0.23491,0.88706,0.000150093,0.000150093,0.000150093
26,1182,0.59504,0.33573,0.88259,0.99844,1,0.995,0.87392,0.59125,0.22984,0.88559,0.00014443,0.00014443,0.00014443
27,1227.07,0.59492,0.33373,0.88368,0.99871,1,0.995,0.8801,0.58763,0.23432,0.88573,0.000138767,0.000138767,0.000138767
28,1272.17,0.59976,0.33652,0.8849,0.99853,1,0.995,0.87965,0.58961,0.22979,0.88729,0.000133104,0.000133104,0.000133104
29,1317.16,0.59501,0.32927,0.88356,0.99873,1,0.995,0.87997,0.5884,0.22867,0.88573,0.000127442,0.000127442,0.000127442
30,1362.2,0.59464,0.32556,0.88319,0.99874,1,0.995,0.88011,0.58607,0.22218,0.88574,0.000121779,0.000121779,0.000121779
31,1407.21,0.59543,0.32553,0.88438,0.9983,1,0.995,0.87841,0.59045,0.22507,0.88768,0.000116116,0.000116116,0.000116116
32,1452.6,0.59175,0.31837,0.88304,0.99841,1,0.995,0.87937,0.58812,0.22754,0.88616,0.000110453,0.000110453,0.000110453
33,1498.07,0.59425,0.31973,0.88299,0.99882,1,0.995,0.88158,0.58567,0.2239,0.8855,0.00010479,0.00010479,0.00010479
