epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1031,1.20842,2.29569,1.04744,0.97069,0.98372,0.99068,0.67412,0.99604,2.14624,0.90278,0.000661247,0.000661247,0.000661247
2,53.1626,1.1101,1.24226,0.98065,0.97048,0.97525,0.99181,0.67327,1.04514,1.14428,0.95227,0.00128409,0.00128409,0.00128409
3,77.7137,1.0862,0.93836,0.97084,0.98224,0.9802,0.99395,0.71637,0.95324,0.76141,0.90969,0.00186294,0.00186294,0.00186294
4,102.013,1.07306,0.81391,0.9742,0.97054,0.97772,0.99206,0.72677,0.94046,0.76825,0.93702,0.001802,0.001802,0.001802
5,126.256,1.03305,0.73082,0.96282,0.98299,0.98515,0.99347,0.76287,0.87664,0.70116,0.89465,0.001736,0.001736,0.001736
6,149.781,1.00762,0.66333,0.95845,0.98022,0.98762,0.99445,0.76412,0.84595,0.68281,0.90632,0.00167,0.00167,0.00167
7,173.755,1.01019,0.65494,0.95082,0.99131,0.98762,0.99485,0.74317,0.87201,0.62204,0.90065,0.001604,0.001604,0.001604
8,197.495,0.96542,0.61044,0.93883,0.98035,0.98802,0.99307,0.74489,0.87642,0.69712,0.90137,0.001538,0.001538,0.001538
9,221.119,0.97106,0.6085,0.9379,0.99469,0.99505,0.99495,0.77637,0.82562,0.51866,0.89696,0.001472,0.001472,0.001472
10,245.232,0.93423,0.57899,0.93741,0.98722,0.98515,0.99462,0.77428,0.83265,0.58354,0.88853,0.001406,0.001406,0.001406
11,269.309,0.9378,0.57265,0.92391,0.99015,0.99477,0.99467,0.78373,0.80317,0.52294,0.88586,0.00134,0.00134,0.00134
12,293.195,0.91045,0.55279,0.91974,0.99251,0.98452,0.99483,0.79643,0.77752,0.49415,0.87119,0.001274,0.001274,0.001274
13,316.883,0.8815,0.51752,0.90988,0.99505,0.99462,0.99485,0.78761,0.78199,0.46695,0.87156,0.001208,0.001208,0.001208
14,340.837,0.89589,0.52867,0.91293,0.99259,0.995,0.99457,0.78241,0.84943,0.51708,0.88235,0.001142,0.001142,0.001142
15,365.066,0.88261,0.51745,0.91309,0.99623,0.9901,0.99498,0.79245,0.78178,0.5308,0.86465,0.001076,0.001076,0.001076
16,389.228,0.8568,0.50251,0.90284,0.99664,0.99505,0.99488,0.79139,0.7835,0.49813,0.8661,0.00101,0.00101,0.00101
17,413.386,0.85814,0.48585,0.9032,0.98983,0.99505,0.99488,0.80226,0.75416,0.5283,0.86399,0.000944,0.000944,0.000944
18,437.51,0.83269,0.47349,0.89217,0.99182,0.99752,0.99498,0.79469,0.76004,0.54301,0.8655,0.000878,0.000878,0.000878
19,461.634,0.83742,0.47586,0.89615,0.9946,0.99752,0.9949,0.80841,0.73112,0.45601,0.85628,0.000812,0.000812,0.000812
20,485.859,0.8299,0.46217,0.89412,0.99608,0.99752,0.99483,0.815,0.75613,0.47446,0.85465,0.000746,0.000746,0.000746
21,510.164,0.78935,0.43567,0.87996,0.99157,0.99752,0.99465,0.80596,0.74259,0.47453,0.8583,0.00068,0.00068,0.00068
22,533.511,0.7693,0.41928,0.87699,0.99959,0.99752,0.995,0.81436,0.74573,0.41318,0.85935,0.000614,0.000614,0.000614
23,557.082,0.75443,0.41268,0.87746,0.99942,0.9901,0.995,0.80993,0.75769,0.39354,0.86222,0.000548,0.000548,0.000548
24,579.87,0.75189,0.40386,0.87086,0.99731,0.99505,0.99493,0.81066,0.73362,0.4406,0.84695,0.000482,0.000482,0.000482
25,602.568,0.73922,0.39603,0.86747,0.99459,0.99752,0.99498,0.81872,0.73299,0.41446,0.84633,0.000416,0.000416,0.000416
26,625.48,0.71881,0.37951,0.86498,0.99481,0.99752,0.99436,0.81933,0.72947,0.42852,0.84788,0.00035,0.00035,0.00035
27,648.91,0.71099,0.37755,0.86176,0.99634,0.99257,0.99448,0.82079,0.71409,0.42852,0.84725,0.000284,0.000284,0.000284
28,671.959,0.71667,0.36852,0.86079,0.99499,0.99752,0.99488,0.82706,0.709,0.40424,0.84394,0.000218,0.000218,0.000218
29,695.014,0.70299,0.36321,0.85531,0.99506,0.99731,0.99475,0.83108,0.71329,0.40905,0.84096,0.000152,0.000152,0.000152
30,718.387,0.68048,0.34846,0.84647,0.99506,0.99744,0.99483,0.83118,0.69673,0.39427,0.83945,8.6e-05,8.6e-05,8.6e-05
